2002.04.05 01:49 B C:\Inetpub\wwwroot\images\search_bar\last_button.gif <-- leverage /wwwroot/projects/centerline/live/images/search_bar last_button.gif
2002.04.05 01:49 B C:\Inetpub\wwwroot\images\search_bar\first_button.gif <-- leverage /wwwroot/projects/centerline/live/images/search_bar first_button.gif
2002.06.14 19:08 B C:\Inetpub\wwwroot\images\search_bar\WS_FTP.LOG --> ftp.leveragetech.com /wwwroot/projects/centerline/live/web backup/06142002/wwwroot/images/search_bar WS_FTP.LOG
2002.06.14 19:08 B C:\Inetpub\wwwroot\images\search_bar\last_button.gif --> ftp.leveragetech.com /wwwroot/projects/centerline/live/web backup/06142002/wwwroot/images/search_bar last_button.gif
2002.06.14 19:08 B C:\Inetpub\wwwroot\images\search_bar\first_button.gif --> ftp.leveragetech.com /wwwroot/projects/centerline/live/web backup/06142002/wwwroot/images/search_bar first_button.gif
2002.06.14 19:08 B C:\Inetpub\wwwroot\images\search_bar\search_field.gif --> ftp.leveragetech.com /wwwroot/projects/centerline/live/web backup/06142002/wwwroot/images/search_bar search_field.gif
2002.06.14 19:08 B C:\Inetpub\wwwroot\images\search_bar\search_button.gif --> ftp.leveragetech.com /wwwroot/projects/centerline/live/web backup/06142002/wwwroot/images/search_bar search_button.gif
2002.06.14 19:08 B C:\Inetpub\wwwroot\images\search_bar\search_bar_top.gif --> ftp.leveragetech.com /wwwroot/projects/centerline/live/web backup/06142002/wwwroot/images/search_bar search_bar_top.gif
2002.06.14 19:08 B C:\Inetpub\wwwroot\images\search_bar\search_bar_right.gif --> ftp.leveragetech.com /wwwroot/projects/centerline/live/web backup/06142002/wwwroot/images/search_bar search_bar_right.gif
2002.06.14 19:08 B C:\Inetpub\wwwroot\images\search_bar\search_bar_bottom_corner.gif --> ftp.leveragetech.com /wwwroot/projects/centerline/live/web backup/06142002/wwwroot/images/search_bar search_bar_bottom_corner.gif
2002.06.14 19:08 B C:\Inetpub\wwwroot\images\search_bar\search_bar_bottom.gif --> ftp.leveragetech.com /wwwroot/projects/centerline/live/web backup/06142002/wwwroot/images/search_bar search_bar_bottom.gif
2002.06.14 19:08 B C:\Inetpub\wwwroot\images\search_bar\previous_button.gif --> ftp.leveragetech.com /wwwroot/projects/centerline/live/web backup/06142002/wwwroot/images/search_bar previous_button.gif
2002.06.14 19:08 B C:\Inetpub\wwwroot\images\search_bar\next_button.gif --> ftp.leveragetech.com /wwwroot/projects/centerline/live/web backup/06142002/wwwroot/images/search_bar next_button.gif
2002.06.14 19:08 B C:\Inetpub\wwwroot\images\search_bar\jump_to_button.gif --> ftp.leveragetech.com /wwwroot/projects/centerline/live/web backup/06142002/wwwroot/images/search_bar jump_to_button.gif
